step,speed
0,19.22722048
1,19.17086778
2,18.80950567
3,18.46678277
4,19.73884526
5,22.03168594
6,22.23323533
7,19.59418867
8,17.97093483
9,20.2786141
10,20.35721678
11,18.90865487
12,19.77948728
13,20.78386059
14,21.20625767
15,20.82006167
16,21.41612678
17,22.22832208
18,22.13868636
19,23.25968473
20,21.59495263
21,21.81719579
22,21.22804914
23,19.05593653
24,18.88695364
25,20.8187933
26,19.83739702
27,18.62009648
28,18.70060117
29,19.54997931
30,20.60276985
31,20.02667978
32,19.61539522
33,18.92230511
34,18.94237343
35,19.67719586
36,18.90955159
37,20.42845721
38,21.08618641
39,20.39882678
40,19.05694389
41,18.91704733
42,19.68429644
43,20.24494111
44,19.947206
45,19.50982404
46,18.19424756
47,16.93656552
48,17.03855969
49,17.05983716
50,15.83213866
51,16.16035822
52,17.76988716
53,19.52346088
54,19.6336125
55,19.59950141
56,19.26108495
57,17.5629457
58,17.82249149
59,15.78835667
60,14.47792343
61,16.06002587
62,17.43804712
63,17.84040789
64,17.65357671
65,15.88118143
66,14.7265166
67,15.18246586
68,15.52398058
69,16.30972644
70,16.99180622
71,17.81892128
72,16.01989594
73,14.05303013
74,13.50144112
75,11.62316164
76,12.33113041
77,13.30132073
78,10.68746601
79,9.0108912
80,11.19842469
81,12.74194748
82,11.78805107
83,11.09649068
84,10.89409983
85,12.89080928
86,12.29661463
87,11.21060138
88,12.8114181
89,12.41285992
90,14.1110738
91,16.39910304
92,19.36267227
93,20.24673489
94,19.47078662
95,22.38989299
96,21.70636793
97,16.96232724
98,16.19057001
99,18.25574527
100,18.65491989
101,17.86017067
102,17.81609683
103,18.20549328
104,18.37904831
105,18.986597
106,19.18339913
107,19.26567911
108,19.60255156
109,24.22376422
110,29.92787389
111,25.46738844
112,20.56440622
113,20.73337501
114,19.6055269
115,19.89632142
116,25.10723738
117,29.2301952
118,26.51109768
119,22.72816367
120,18.70273291
121,18.78760507
122,19.32675455
123,18.87283557
124,18.28614178
125,18.97924622
126,19.99482479
127,32.82027387
128,34.0437487
129,23.40912651
130,21.82785526
131,19.07824305
132,21.48859367
133,24.66417057
134,21.73184111
135,18.89809502
136,18.72271355
137,18.66439402
138,19.68751805
139,20.75633723
140,19.63707655
141,18.26057733
142,19.03568322
143,18.91850167
144,16.93521757
145,16.5400812
146,15.76555867
147,14.04240619
148,13.50489042
149,14.94939822
150,15.13036787
151,14.18793497
152,14.58949609
153,15.23055047
154,15.35814
155,15.60301205
156,13.47344102
157,10.84117451
158,11.66941306
159,11.97241212
160,11.51659209
161,12.46742928
162,14.84756026
163,14.70909204
164,12.23696853
165,10.43735851
166,10.12860336
167,10.81112461
168,12.45056432
169,14.56662152
170,15.52165572
171,15.72803301
172,15.05937077
173,13.77894899
174,13.50031238
175,17.23229196
176,20.75153448
177,17.05490416
178,14.80350619
179,19.96363932
180,18.51688186
181,12.21263501
182,12.80685603
183,13.31123873
184,10.92852382
185,12.51339868
186,14.82280579
187,17.75663991
188,16.62617696
189,13.71720653
190,14.0932051
191,15.42114694
192,18.08907967
193,22.28729889
194,23.42832467
195,19.51422456
196,18.330539
197,18.12121044
198,19.21569356
199,24.25268162
200,32.46985869
201,30.20036035
202,23.81245367
203,28.50263033
204,29.71092424
205,21.83180526
206,18.98263063
207,20.26719444
208,21.07143711
209,22.30656367
210,23.18399644
211,22.74278734
